fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_paper.p_8_6_Trans_fseq_condVI	pss_paper	476736	476736	1	isabelle/pss_paper.thy	2218	false	true	true
pss_paper.p_8_7_const00_Trans	pss_paper	476744	476744	1	isabelle/pss_paper.thy	2243	false	true	true
pss_paper.p_8_7_fseq_descend	pss_paper	476752	476752	1	isabelle/pss_paper.thy	2253	false	true	true
pss_paper.p_8_7_OT_scb_recursive	pss_paper	476760	476760	1	isabelle/pss_paper.thy	2263	false	true	true
pss_paper.p_8_7_OT_dom_hereditary	pss_paper	476768	476768	1	isabelle/pss_paper.thy	2273	false	true	true
pss_paper.p_8_7_OT_tail_annihilable	pss_paper	476776	476776	1	isabelle/pss_paper.thy	2284	false	true	true
pss_paper.p_8_7_Pred_oper0	pss_paper	476784	476784	1	isabelle/pss_paper.thy	2298	false	true	true
pss_paper.p_8_7_OT_examples	pss_paper	476792	476798	4	isabelle/pss_paper.thy	2307	false	true	true
pss_paper.p_8_7_Trans_preserves_OT	pss_paper	476806	476806	1	isabelle/pss_paper.thy	2317	false	true	true
pss_paper.p_8_7_termination	pss_paper	476814	476814	1	isabelle/pss_paper.thy	2329	false	true	true
pss_mechanized.Pred_preserves_T_PS	pss_mechanized	476820	476820	1	isabelle/pss_mechanized.thy	19	false	false	false
pss_mechanized.Lng_Pred_lt	pss_mechanized	476828	476828	1	isabelle/pss_mechanized.thy	31	false	false	false
pss_mechanized.le0_refl	pss_mechanized	476850	476850	1	isabelle/pss_mechanized.thy	38	false	false	false
pss_mechanized.leR_refl	pss_mechanized	476884	476884	1	isabelle/pss_mechanized.thy	43	false	false	false
pss_mechanized.nextrel0_rtrancl_mono	pss_mechanized	476900	476900	1	isabelle/pss_mechanized.thy	53	false	false	false
pss_mechanized.m_5_1_parent_exists_1	pss_mechanized	476928	476928	1	isabelle/pss_mechanized.thy	60	false	false	false
pss_mechanized.m_5_1_parent_basic_1	pss_mechanized	476936	476936	1	isabelle/pss_mechanized.thy	89	false	false	false
pss_mechanized.m_5_1_parent_basic_2	pss_mechanized	476962	476962	1	isabelle/pss_mechanized.thy	102	false	false	false
pss_mechanized.le0_ances_aux	pss_mechanized	476986	476986	1	isabelle/pss_mechanized.thy	118	false	false	false
pss_mechanized.m_5_1_ancestor_basic_1	pss_mechanized	477034	477034	1	isabelle/pss_mechanized.thy	166	false	false	false
pss_mechanized.m_5_1_parent_exists_2	pss_mechanized	477058	477058	1	isabelle/pss_mechanized.thy	176	false	false	false
pss_mechanized.le0_build	pss_mechanized	477112	477112	1	isabelle/pss_mechanized.thy	214	false	false	false
